Index Name,Date,Open,High,Low,Close
NIFTY 50,19-Apr-04,1868.2,1876.2,1837.4,1844.05
NIFTY 50,20-Apr-04,1844.4,1851,1832,1844.25
NIFTY 50,21-Apr-04,1844.35,1876,1838.6,1873.35
NIFTY 50,22-Apr-04,1873.55,1894.6,1871,1889.55
NIFTY 50,23-Apr-04,1890.85,1912.35,1885.75,1892.45
NIFTY 50,27-Apr-04,1890.05,1893.1,1814,1817.25
NIFTY 50,28-Apr-04,1819,1833.95,1801.8,1816.55
NIFTY 50,29-Apr-04,1816.7,1818.9,1793.1,1808.95
NIFTY 50,30-Apr-04,1820.55,1841.45,1788.3,1796.1
NIFTY 50,03-May-04,1796.1,1801.45,1742.8,1766.7
NIFTY 50,04-May-04,1769.1,1803.15,1768.8,1793.1
NIFTY 50,05-May-04,1789.45,1814.35,1788.1,1809.9
NIFTY 50,06-May-04,1810.3,1837.95,1810.3,1832.8
NIFTY 50,07-May-04,1832.85,1833.15,1796.95,1804.45
NIFTY 50,10-May-04,1804.4,1804.4,1753.8,1769.1
NIFTY 50,11-May-04,1768.7,1768.7,1692.9,1699.45
NIFTY 50,12-May-04,1699.25,1721.35,1689.85,1711.1
NIFTY 50,13-May-04,1707.95,1750.3,1625.1,1717.5
NIFTY 50,14-May-04,1717.05,1722.8,1566.95,1582.4
NIFTY 50,17-May-04,1582.5,1583.8,1292.2,1388.75
NIFTY 50,18-May-04,1392.95,1517.6,1389.65,1503.95
NIFTY 50,19-May-04,1508.05,1576.05,1508.05,1567.85
NIFTY 50,20-May-04,1566.5,1591.05,1531.3,1543.85
NIFTY 50,21-May-04,1545.05,1566.15,1498.1,1560.2
NIFTY 50,24-May-04,1563.65,1613.6,1563.05,1608.85
NIFTY 50,25-May-04,1608.9,1621.45,1566.4,1606.7
NIFTY 50,26-May-04,1608.15,1625.7,1587,1598.8
NIFTY 50,27-May-04,1590.15,1606,1576.05,1586.4
NIFTY 50,28-May-04,1586.35,1587.1,1504,1508.75
NIFTY 50,31-May-04,1507.05,1509.05,1456.2,1483.6
NIFTY 50,01-Jun-04,1483.9,1529.6,1483.9,1507.9
NIFTY 50,02-Jun-04,1508,1543.3,1508,1535.2
NIFTY 50,03-Jun-04,1535.8,1566.5,1484.5,1495.1
NIFTY 50,04-Jun-04,1494.85,1527,1480.8,1521.1
NIFTY 50,07-Jun-04,1521.6,1557.5,1521.6,1542.55
NIFTY 50,08-Jun-04,1542.6,1557,1526.45,1550.55
NIFTY 50,09-Jun-04,1550.45,1561.6,1541.6,1548.3
NIFTY 50,10-Jun-04,1547.7,1552.75,1535,1544.75
NIFTY 50,11-Jun-04,1544.95,1547.4,1504.8,1508.45
NIFTY 50,14-Jun-04,1508.15,1509.6,1474.65,1481.35
NIFTY 50,15-Jun-04,1481.45,1507.85,1481,1501
NIFTY 50,16-Jun-04,1500.95,1525.2,1490.45,1494.75
NIFTY 50,17-Jun-04,1494.7,1519.2,1482.2,1512.05
