,date,instrument,ROE,Free_Cash_Flow,PE_TTM,market_cap,amount,open,close
224126,2022/9/30,002714.SZA,-13.0609,-9444413440,-31.181047,2.90165E+11,1029883444,1009.8497,1010.035
224127,2022/10/10,002714.SZA,-13.0609,-9444413440,-33.199924,3.08952E+11,3174572187,1046.7163,1075.4315
224128,2022/10/11,002714.SZA,-13.0609,-9444413440,-33.320026,3.10069E+11,1324130634,1074.5052,1079.322
224129,2022/10/12,002714.SZA,-13.0609,-9444413440,-33.680336,3.13422E+11,1703392126,1081.9156,1090.9934
224130,2022/10/13,002714.SZA,-13.0609,-9444413440,-33.691776,3.13529E+11,1583575038,1083.7683,1091.3639
224131,2022/10/14,002714.SZA,-13.0609,-9444413440,-33.43441,3.11134E+11,1460645752,1093.0312,1083.0272
224132,2022/10/17,002714.SZA,-13.0609,-9444413440,-33.331467,3.10176E+11,1287471697,1068.7622,1079.6925
224133,2022/10/18,002714.SZA,-13.0609,-9444413440,-33.57167,3.12411E+11,1499174431,1080.9894,1087.4734
224134,2022/10/19,002714.SZA,-13.0609,-9444413440,-32.37064,3.01235E+11,1763419049,1083.7683,1048.569
224135,2022/10/20,002714.SZA,-13.0609,-9444413440,-32.044647,2.98201E+11,1167179245,1048.1984,1038.0092
224136,2022/10/21,002714.SZA,-13.0609,-9444413440,-31.981735,2.97616E+11,1038930005,1034.6744,1035.9713
224137,2022/10/24,002714.SZA,-13.0609,-9444413440,-31.055227,2.88994E+11,1659891028,1029.1167,1005.9592
224138,2022/10/25,002714.SZA,2.7288,-22234435584,-1001.12823,2.88515E+11,1867769397,1011.517,1004.29193
224139,2022/10/26,002714.SZA,2.7288,-22234435584,-937.04565,2.70047E+11,3962371110,1013.3696,940.00684
224140,2022/10/27,002714.SZA,2.7288,-22234435584,-914.3305,2.63501E+11,3149841445,926.29767,917.2199
224141,2022/10/28,002714.SZA,2.7288,-22234435584,-877.7647,2.52963E+11,2627159371,905.5486,880.5386
224142,2022/10/31,002714.SZA,2.7288,-22234435584,-863.914,2.48971E+11,1999342156,859.04846,866.6441
224143,2022/11/1,002714.SZA,2.7288,-22234435584,-895.3089,2.58019E+11,1862319886,866.27356,898.1382
224144,2022/11/2,002714.SZA,2.7288,-22234435584,-891.06134,2.56795E+11,1637714699,896.6561,893.87726
224145,2022/11/3,002714.SZA,2.7288,-22234435584,-879.05743,2.53335E+11,1517004648,889.2457,881.8354
224146,2022/11/4,002714.SZA,2.7288,-22234435584,-899.37177,2.5919E+11,1999203937,883.688,902.2139
224147,2022/11/7,002714.SZA,2.7288,-22234435584,-915.9926,2.6398E+11,1858784695,907.5864,918.88727
224148,2022/11/8,002714.SZA,2.7288,-22234435584,-902.1419,2.59988E+11,1512215300,918.88727,904.9928
224149,2022/11/9,002714.SZA,2.7288,-22234435584,-888.2912,2.55996E+11,985219460,897.2119,891.0983
224150,2022/11/10,002714.SZA,2.7288,-22234435584,-891.43115,2.56901E+11,1092578879,884.429,894.24774
224151,2022/11/11,002714.SZA,2.7288,-22234435584,-898.63354,2.58977E+11,1736077914,917.03467,901.4729
224152,2022/11/14,002714.SZA,2.7288,-22234435584,-891.98517,2.57061E+11,1628083872,904.2518,894.8035
224153,2022/11/15,002714.SZA,2.7288,-22234435584,-899.18756,2.59136E+11,1570976275,894.24774,902.0286
224154,2022/11/16,002714.SZA,2.7288,-22234435584,-892.90857,2.57327E+11,1232579862,905.5486,895.7298
224155,2022/11/17,002714.SZA,2.7288,-22234435584,-888.8457,2.56156E+11,1560906382,892.02466,891.6541
224156,2022/11/18,002714.SZA,2.7288,-22234435584,-871.67084,2.51206E+11,1723432544,891.6541,874.425
224157,2022/11/21,002714.SZA,2.7288,-22234435584,-870.1934,2.50781E+11,1027331979,866.6441,872.94293
224158,2022/11/22,002714.SZA,2.7288,-22234435584,-864.0991,2.49024E+11,848358086,872.94293,866.82935
224159,2022/11/23,002714.SZA,2.7288,-22234435584,-849.325,2.44767E+11,1403594353,865.162,852.0086
224160,2022/11/24,002714.SZA,2.7288,-22234435584,-848.0323,2.44394E+11,982018222,852.19385,850.7118
